EventID=1001 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.637303
EventID=1002 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638851
EventID=1003 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638868
EventID=1004 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638878
EventID=1005 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638887
EventID=1006 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638896
EventID=1007 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638904
EventID=1008 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638913
EventID=1009 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638921
EventID=1010 | Status=FAILURE | Hub=West | Timestamp=2026-03-23 10:56:42.638930
EventID=1011 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638939
EventID=1012 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638947
EventID=1013 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638956
EventID=1014 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638964
EventID=1015 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638973
EventID=1016 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638981
EventID=1017 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.638990
EventID=1018 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.639012
EventID=1019 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.639022
EventID=1020 | Status=FAILURE | Hub=West | Timestamp=2026-03-23 10:56:42.639031
EventID=1021 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.639039
EventID=1022 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.639048
EventID=1023 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.639056
EventID=1024 | Status=SUCCESS | Hub=West | Timestamp=2026-03-23 10:56:42.639065
